Centroid X µm,Centroid Y µm,Image,Leiden Cluster Label,cluster_color
3209.4,7290.3,test_image,10,#ffbb78
3149.0,7290.5,test_image,10,#ffbb78
3184.2,7291.0,test_image,1,#ff7f0e
3178.3,7291.9,test_image,1,#ff7f0e
3156.5,7292.7,test_image,10,#ffbb78
3202.4,7293.1,test_image,1,#ff7f0e
3244.7,7293.8,test_image,1,#ff7f0e
3328.1,7294.4,test_image,2,#279e68
3222.7,7295.2,test_image,7,#b5bd61
3172.1,7295.0,test_image,1,#ff7f0e
3261.9,7295.6,test_image,1,#ff7f0e
3268.5,7297.1,test_image,6,#e377c2
3184.6,7298.5,test_image,1,#ff7f0e
3146.1,7298.4,test_image,1,#ff7f0e
3214.8,7299.4,test_image,7,#b5bd61
3305.0,7299.7,test_image,2,#279e68
3313.5,7300.4,test_image,7,#b5bd61
3278.5,7300.7,test_image,6,#e377c2
3140.5,7301.8,test_image,1,#ff7f0e
3190.6,7301.5,test_image,10,#ffbb78
3172.4,7301.7,test_image,10,#ffbb78
3178.9,7302.3,test_image,1,#ff7f0e
3291.8,7303.0,test_image,2,#279e68
3253.3,7305.2,test_image,1,#ff7f0e
3319.8,7305.5,test_image,10,#ffbb78
3244.1,7305.8,test_image,1,#ff7f0e
3163.9,7305.7,test_image,10,#ffbb78
3174.5,7306.7,test_image,10,#ffbb78
3261.1,7307.3,test_image,1,#ff7f0e
3270.5,7307.2,test_image,1,#ff7f0e
3235.6,7307.6,test_image,10,#ffbb78
3196.6,7309.6,test_image,2,#279e68
3182.9,7311.1,test_image,7,#b5bd61
3141.3,7312.1,test_image,10,#ffbb78
3278.9,7311.2,test_image,1,#ff7f0e
3286.5,7312.6,test_image,1,#ff7f0e
3306.9,7312.7,test_image,1,#ff7f0e
3232.0,7313.7,test_image,1,#ff7f0e
3167.0,7313.9,test_image,10,#ffbb78
3157.7,7315.1,test_image,5,#8c564b
3174.6,7315.0,test_image,10,#ffbb78
3194.9,7317.6,test_image,7,#b5bd61
3214.7,7317.2,test_image,1,#ff7f0e
3345.2,7317.0,test_image,10,#ffbb78
3277.8,7319.8,test_image,1,#ff7f0e
3293.6,7319.9,test_image,5,#8c564b
3187.7,7320.5,test_image,1,#ff7f0e
3229.8,7320.3,test_image,1,#ff7f0e
